소재지도로명주소,위도,경도,관할기관명
서울특별시 종로구 송월길 77,37.5701849277,126.9650874043,종로소방서
서울특별시 종로구 새문안로 29,37.5688677261,126.9678127036,종로소방서
서울특별시 종로구 경교장길 35,37.5688537151,126.9651148526,종로소방서
서울특별시 종로구 송월길 22,37.5691281617,126.9683230967,종로소방서
,37.56862398,126.9671257,종로소방서
서울특별시 종로구 새문안로 9,37.56674676,126.9672024939,종로소방서
서울특별시 종로구 통일로 134,37.56667084,126.9662347887,종로소방서
서울특별시 종로구 새문안로 29,37.5688677261,126.9678127036,종로소방서
서울특별시 종로구 새문안로 27,37.5678765778,126.968282538,종로소방서
서울특별시 종로구 새문안로 27,37.5678765778,126.9682704,종로소방서
서울특별시 종로구 삼봉로 78-1,37.57203478,126.9814918105,종로소방서
서울특별시 종로구 송월길 75,37.5699418,126.9658696,종로소방서
서울특별시 종로구 새문안로 37,37.5687050483,126.9693241321,종로소방서
서울특별시 종로구 새문안로 105,37.5704522392,126.9762794263,종로소방서
서울특별시 종로구 새문안로5길 5-1,37.5707865365,126.9746791737,종로소방서
서울특별시 종로구 우정국로 63,37.57474511,126.982645706,종로소방서
서울특별시 종로구 사직로8길 34,37.57352991,126.972154874,종로소방서
서울특별시 종로구 사직로8길 34,37.5735669794,126.9721265,종로소방서
서울특별시 종로구 사직로8길 20,37.5739303322,126.9705923341,종로소방서
서울특별시 종로구 세종대로23길 47,37.5713864751,126.9736986805,종로소방서
서울특별시 종로구 율곡로2길 22,37.57515611,126.98011754,종로소방서
서울특별시 종로구 우정국로 6,37.569380345,126.9832258296,종로소방서
서울특별시 종로구 사직로10길 7,37.57558054,126.9705106262,종로소방서
서울특별시 종로구 삼청로 115-21,37.5856769267,126.9804791009,종로소방서
서울특별시 종로구 삼청로 99,37.5843120583,126.9818990858,종로소방서
서울특별시 종로구 북촌로 127,37.5871209511,126.9834480655,종로소방서
서울특별시 종로구 북촌로15길 50,37.584771328,126.9833505392,종로소방서
서울특별시 종로구 삼일대로17길 44,37.5692393166,126.9850701347,종로소방서
서울특별시 종로구 삼청로 102-2,37.5844101389,126.9822450537,종로소방서
서울특별시 종로구 삼청로 82,37.58260911,126.9820021685,종로소방서
서울특별시 종로구1길 22,37.57204727,126.9702099097,종로소방서
서울특별시 종로구 세종대로 198,37.5737136067,126.9783394424,종로소방서
서울특별시 종로구 삼청로 12,37.5770226726,126.9797679361,종로소방서
서울특별시 종로구 북촌로1길 27,37.577093538,126.9842112568,종로소방서
서울특별시 종로구 율곡로3길 87,37.5794635323,126.9818392396,종로소방서
서울특별시 종로구 우정국로 43,37.57284911,126.9827599144,종로소방서
서울특별시 종로구 삼청로 114,37.585477259,126.9821381482,종로소방서
서울특별시 종로구 종로9길 18,37.5710165518,126.9845399052,종로소방서
서울특별시 종로구 종로 74,37.56995238,126.9856106148,종로소방서
서울특별시 종로구 종로 99,37.5706125034,126.9880586957,종로소방서
서울특별시 종로구 삼청로 135,37.5875113344,126.9815131302,종로소방서
서울특별시 종로구 삼청로 83,37.582883121,126.9815635232,종로소방서
서울특별시 종로구 삼청로 77,37.5825849828,126.9815665403,종로소방서
서울특별시 종로구 삼청로 71,37.5819461918,126.9810822574,종로소방서
서울특별시 종로구 인사동5길 41,37.5718525363,126.9841703667,종로소방서
서울특별시 종로구 종로 34,37.5698436778,126.981110335,종로소방서
서울특별시 종로구 새문안로 75,37.5706287579,126.9729885268,종로소방서
서울특별시 종로구 새문안로 42,37.5685772978,126.9700680903,종로소방서
서울특별시 종로구 새문안로 15,37.5671103508,126.9675402,종로소방서
서울특별시 종로구 송월길 99,37.570861095,126.9623522571,종로소방서
서울특별시 종로구 우정국로 24,37.57123413,126.9837531,종로소방서
서울특별시 종로구 종로3길 17,37.5709958592,126.9789144773,종로소방서
서울특별시 종로구 새문안로5길 9,37.5710578458,126.9747709978,종로소방서
,37.5758333573,126.9827603816,종로소방서
서울특별시 종로구 인사동10길 14,37.5741800984,126.9857566223,종로소방서
서울특별시 종로구 새문안로5길 37,37.5736488068,126.9742131754,종로소방서
서울특별시 종로구 세종대로 152,37.569867762,126.9776570837,종로소방서
서울특별시 종로구 삼청로 24,37.578047835,126.9798329795,종로소방서
서울특별시 종로구 종로9길 8,37.5708880469,126.984365156,종로소방서
서울특별시 종로구 종로11길 10,37.5707409255,126.9858834914,종로소방서
서울특별시 종로구 율곡로3길 64,37.5784539407,126.9822271,종로소방서
서울특별시 종로구 삼청로11길 41,37.5892292109,126.9801209499,종로소방서
서울특별시 종로구 삼봉로 86,37.5720169112,126.9818950436,종로소방서
서울특별시 종로구 인사동길 19-8,37.5725777993,126.9860091354,종로소방서
서울특별시 종로구 인사동길 19-5,37.5725288089,126.9862112052,종로소방서
서울특별시 종로구 경교장길 8,37.5671607238,126.9659712534,종로소방서
서울특별시 종로구 세종대로 172,37.572186041,126.9768172494,종로소방서
서울특별시 종로구 우정국로 36,37.57211371,126.9832074,종로소방서
서울특별시 종로구 종로14길 32,37.5685787247,126.9867304715,종로소방서
서울특별시 종로구 우정국로2길 21,37.56977711,126.984281413,종로소방서
서울특별시 종로구 사직로8길 31,37.5748809503,126.9719862786,종로소방서
